Afore	Trước
cutin	cắt
cutup	cắt
Czech	Tiếng Séc
dadap	bố
dadas	bố
daddy	bố
dados	bố
daffs	hoa mắt
daggy	ngu ngốc
dayal	ban ngày
daily	hằng ngày
daint	xỉn màu
dairy	sản phẩm bơ sữa
Dalat	Đà lạt
dames	chết tiệt
damie	chết tiệt
damme	chết tiệt
damns	chết tiệt
dampy	ẩm ướt
dance	nhảy
Danic	Hoang mang
darbs	người yêu
dared	dám
darer	liều lĩnh
Dares	Liều mạng
darky	đen tối
darks	bóng tối
darns	em yêu
darst	kinh ngạc
darts	phi tiêu
dasht	gạch ngang
dassy	ngu ngốc
dated	ngày tháng
dates	ngày
daubs	đầu óc
daunt	làm nản lòng
dawed	rạng rỡ
dawny	rạng đông
dazed	choáng váng
dazes	choáng váng
deady	bế tắc
deads	người chết
deair	thầy giáo
deals	giao dịch
dealt	xử lý
deans	trưởng khoa
deare	thân yêu
Deary	Thân yêu
dearn	thân yêu
dears	nước mắt
Death	Tử vong
deave	nói chuyện phiếm
debag	mảnh vụn
debar	làm hỏng
debat	khai trừ
debel	gỡ rối
Debye	Tạm biệt
debit	ghi nợ
debts	nợ nần
debug	gỡ lỗi
debut	ra mắt
decad	suy đồi
Decay	Thối rữa
decal	đề can
decap	chặt đầu
decem	lừa dối
decke	boong
decks	bộ bài
decoy	mồi nhử
decor	thiết kế nội thất
decry	chê bai
dedal	khấu trừ
deddy	suy diễn
dedit	khấu trừ
deedy	cây cỏ
deeds	hành động
Deems	Có vẻ
deeps	vực sâu
deers	con nai
defat	chất béo
defer	hoãn lại
defet	làm hỏng
defis	khử mùi hôi
defog	khử mùi
deify	phong thần
deign	phong tước
deynt	de tổng hợp
deism	thần tượng
Deity	Thần linh
deked	chứng thư
delay	trì hoãn
delfs	bản thân
delim	phân định
Delta	Đồng bằng
delve	đào sâu
demal	ma quỷ
demit	giáng lâm
Demon	Con quỷ
Demos	Bản trình diễn
demot	trình chiếu
denim	vải denim
dense	ngu độn
denty	nhiều
dents	vết lõm
depel	kho bãi
depit	kho bãi
depot	kho chứa
depth	chiều sâu
deray	làm mất trật tự
deriv	dẫn xuất
derma	Derma
derog	con lừa
desks	bàn làm việc
dessa	món tráng miệng
DESTA	NHÀ HÀNG
Deste	Ham muốn
detar	gièm pha
detat	gièm pha
deter	ngăn cản
detox	cai nghiện
dette	gièm pha
detur	gièm pha
deuce	hạ bệ
deval	mất giá
devas	chư thiên
Dever	Sốt
devex	lỗ lõm
Devil	ác quỷ
devot	ăn tươi nuốt sống
devow	ngấu nghiến
dewax	sương mù
dewed	đọng sương
dhole	cái hố
diact	sai lầm
dials	quay số
diary	Nhật ký
diced	thái hạt lựu
dicey	xúc xắc
dicer	người đánh cá
dices	xúc xắc
dicty	độc tài
diddy	ngu ngốc
didle	cây bút lông
didnt	không
didst	đã làm
dyers	thợ nhuộm
diety	ăn ngon
diets	ăn kiêng
Dyfed	Nhuộm
dight	khó tính
digit	chữ số
digue	lừa dối
dying	sắp chết
diked	nhúng
dyked	nhuộm
dikey	con lừa
dykey	con lừa
diker	thợ đào
dyker	thợ nhuộm
dikes	đê điều
dykes	đê điều
dildo	dương vật giả
dills	thì là
dimer	ăn tối
dimit	lặn
dimly	lờ mờ
dimmy	mẹ
dynam	động
dined	ăn tối
diner	quán ăn
dines	ăn tối
dynes	thuốc nhuộm
dinge	ngu xuẩn
dingy	bẩn thỉu
dinky	buồn tẻ
dinos	khủng long
Dinse	Dày đặc
dints	lặn
diose	đánh liều
dippy	hơi điên
dipsy	động kinh
Dirck	Bẩn thỉu
direr	người chỉ đạo
direx	thảm khốc
dirgy	bẩn thỉu
dirty	bẩn thỉu
dirts	áo sơ mi
disco	sàn nhảy
discs	đĩa
dishy	làm hỏng
disks	đĩa
disli	không thích
disme	cho tôi biết
disty	xa
ditch	đào mương
ditsy	bẩn thỉu
ditty	bẩn thỉu
Ditto	Như trên
ditzy	buồn tẻ
diurn	mờ nhạt
divan	đi văng
divas	diva
dived	lặn xuống
Diver	Thợ lặn
Dives	Lặn
divet	lặn
divid	chia rẽ
divvy	chia rẽ
dizen	ngu xuẩn
dizzy	chóng mặt
doaty	chết tiệt
doats	con dòi
docks	bến tàu
doddy	ngu ngốc
Dodge	Né tránh
dodgy	tinh ranh
doers	người làm
doesn	không
dogal	giáo điều
dogey	bá chủ
doggy	Cho dại
dogly	chó đẻ
dogma	giáo điều
doily	buồn bã
doing	đang làm
doled	hình vẽ
doles	vẽ nguệch ngoạc
dolls	búp bê
dolts	chết tiệt
domal	cư trú
domed	mái vòm
domes	mái vòm
domic	độc đoán
dompt	làm sạch
donec	xongc
donee	xong việc
Donet	Xong
dongs	tiền đồng
donor	nhà tài trợ
donsy	làm biếng
donut	bánh vòng
dooms	sự diệt vong
Doone	Làm một
doors	cửa ra vào
doped	pha tạp chất
dopey	ngu xuẩn
doree	quyên góp
dormy	ngủ đông
dorms	ký túc xá
Dorry	Xe tải
Dorsy	Tồi tệ
dorts	sân bay
dosed	liều lượng
doser	người làm
doses	liều lượng
dossy	ngũ
doted	lấm tấm
dotes	chó dại
Dotty	Hơi điên
doubt	nghi ngờ
douce	lừa đảo
Douds	Đôi
dough	bột
douse	ngâm
doven	con quạ
doves	chim bồ câu
dowdy	xuống dốc
dowed	hạ xuống
dowel	chốt hạ
dower	ban cho
dowly	trầm mặc
downy	lông măng
dowry	của hồi môn
dowse	hạ thấp
dowve	đi xuống
dozed	ngủ gật
dozen	tá
dozer	máy ủi
dozes	ngủ gật
drabs	buồn tẻ
draff	phân ra
draft	bản thảo
drags	kéo
Drain	Làm khô hạn
Drake	vịt đực
drama	kịch
drank	Uống
Drape	Rem
drawk	rút ra
drawl	vẽ vời
drawn	vẽ
draws	rút thăm
dread	kinh sợ
Dream	Mơ
drear	thê lương
dreck	đống đổ nát
drees	đầm
dregs	cặn bã
dreks	cặn bã
dress	đầm
Drews	Phi hành đoàn
dryad	khô
drias	khô
dribs	nhỏ giọt
Drice	Nhỏ giọt
dried	khô
drier	khô hơn
dryer	máy sấy khô
dries	làm khô
drift	trôi dạt
drily	khô khan
dryly	khô khan
drill	máy khoan
drink	uống
drips	nhỏ giọt
dript	nhỏ giọt
dryth	khô khan
drive	lái xe
drogh	chảy nước miếng
droil	chảy nước miếng
droyl	nước dãi
droit	bay xuống
droll	rũ xuống
drone	máy bay không người lái
drool	nước dãi
droop	rũ xuống
drops	giọt
dropt	chảy nước miếng
dross	ngu ngốc
droud	lừa dối
drove	lái
drovy	chảy nước miếng
drown	chết chìm
drugs	ma túy
Drums	Trống
drunk	say
drunt	thuốc mê
drupe	thuốc mê
duals	song ca
duant	bền bỉ
duchy	công quốc
ducky	vịt con
ducks	vịt
ducts	ống dẫn
duddy	anh bạn
duded	đần độn
dudes	các anh chàng
duels	đấu tay đôi
duets	song ca
duffs	duff
dukes	công tước
dully	đần độn
dulls	xỉn màu
dumby	ngu ngốc
dumbs	ngu ngốc
dumky	ngu si
dummy	hình nộm
dumpy	đổ rác
dumps	bãi rác
dunal	tá tràng
dunch	bữa tối
dunes	cồn cát
dungy	chất xám
dungs	phân
dunny	ngu ngốc
dunno	không biết
dunts	xỉn màu
duped	lừa gạt
dupes	lừa đảo
dupla	Dupla
duple	đôi
duply	trùng lặp
dural	màng cứng
durax	màng cứng
dured	chết tiệt
duree	ép buộc
dures	chữa bệnh
Durgy	Nghi lễ
durns	chết lặng
durry	khô khan
dusks	ngà voi
Dusty	Bụi bặm
dusts	bụi
Dutch	Tiếng hà lan
duvet	chăn bông
dwarf	quỷ lùn
dwell	trú ngụ
dwelt	cư ngụ
dwine	cư trú
eably	đáng tin cậy
eager	hăng hái
Eagle	chim ưng
eared	tai
Early	Sớm
earls	bá tước
earns	kiếm được
earsh	lỗ tai
Earth	Trái đất
eased	nới lỏng
easel	giá vẽ
easer	lễ phục sinh
eases	làm dịu đi
easts	phía đông
eaten	đã ăn
eater	người ăn
eaved	được cứu sống
Eaves	Tai nghe
Ebony	Gỗ mun
ecart	sinh thái
eched	làm lu mờ
echos	tiếng vang
ecize	làm hưng phấn
ecoid	sinh thái
Ecole	Tiết kiệm
edder	người ăn cắp vặt
edema	phù nề
edged	viền
edger	người ăn thịt người
edges	các cạnh
edict	sắc lệnh
edify	gây dựng
edits	chỉnh sửa
educe	bay ra
educt	máng xối
eeler	người đánh cá
eerie	ghê rợn
effet	hiệu quả
egads	cái tôi
egall	vdall
egest	ví dụ
eggar	trứng gà
egged	có trứng
egger	người đánh trứng
Egypt	Ai cập
eyass	chướng mắt
eyers	mắt
eyess	không có mắt
eight	tám
eyght	bịt mắt
eying	sự quan sát
eyoty	mắt kính
eyrar	mỏi mắt
eyras	mắt kính
eyren	mỏi mắt
eyrer	người chứng kiến
eyres	chướng mắt
eyrie	chướng mắt
eyrir	con mắt
eject	đẩy ra
elate	phấn chấn
elbow	khuỷu tay
Elder	Đàn anh
elect	trúng tuyển
elegy	cao
eleve	nâng lên
Elevs	Elev
elfic	tráng kiện
elide	trốn tránh
Elish	Thành lập
elite	ưu tú
elogy	khoa học
elong	dài ra
elope	bỏ trốn
elops	bỏ đi
elude	lẩn tránh
elute	rửa giải
elver	yêu tinh
elves	yêu tinh
elvet	yêu tinh
EMAIL	E-MAIL
embay	bao quanh
embar	cấm vận
embed	nhúng
ember	than hồng
embog	dập nổi
embow	đưa ra
Embry	Phôi thai
embue	thêu dệt
emend	khen ngợi
emigr	người di cư
emirs	tiểu vương quốc
emits	phát ra
Emmit	Bắt chước
emote	biểu tượng cảm xúc
emove	làm mềm
empty	trống rỗng
emule	hình tượng
emuls	nhũ tương
enact	ban hành
enage	ban hành
enami	men
enapt	ban hành
enarm	ban hành
enate	tạo ra
encup	mã hóa
ended	đã kết thúc
endow	cho
endue	ban cho
eneid	thuốc xổ
enema	thuốc xổ
enemy	kẻ thù
enent	thụt lùi
enjoy	vui thích
enlay	lớp phủ
enrol	ghi danh
ensky	bảo kê
ensue	tiếp theo
entad	cầu xin
enter	đi vào
entre	cầu xin
entry	lối vào
entte	lôi kéo
envoy	sứ thần
enzym	cảm giác
epics	sử thi
epoch	kỷ nguyên
epoxy	sơn epoxy
epris	kinh ngạc
equal	công bằng
eques	bằng
equid	ngang nhau
equip	trang bị
equiv	trang bị
erade	tẩy xóa
erase	tẩy xóa
Erath	Thời đại
erect	dựng lên
erept	dựng lên
ergal	thái quá
ermit	sai sót
erode	xói mòn
erose	ăn mòn
erred	sai lầm
erron	người sai vặt
error	lỗi
erses	ngựa
erupt	phun trao
ervil	cái đe
escry	hộ tống
essay	tiểu luận
essed	tiểu luận
esses	bài luận
estab	thiết lập
estre	dục vọng
ether	ête
ethic	đạo đức
Ethyl	Etylic
ethos	đặc tính
Eucha	Thánh thể
euros	euro
evade	trốn tránh
Evant	Có liên quan
evase	trốn tránh
evene	giao thừa
event	biến cố
every	mỗi
evict	đuổi ra khỏi nhà
evils	tệ nạn
evite	trốn tránh
evoke	gợi lên
exact	chính xác
exalt	nâng cao
exams	kỳ thi
excel	vượt trội
excud	kinh ngạc
excur	tuyệt vời
execs	người điều hành
exect	loại bỏ
exert	gắng sức
exies	người yêu cũ
Exile	Đày ải
exion	sự đày đọa
exist	hiện hữu
exite	khích lệ
exits	lối ra
exode	xuất ngoại
exody	hăng hái
exopt	tháo ra
expel	trục xuất
expos	triển lãm
expwy	kinh nghiệm
exter	người tiêu diệt
extra	thêm
exude	toát ra
exult	vui mừng
exurb	ngoại ô
exust	kiệt sức
faade	ngu xuẩn
fable	truyện ngụ ngôn
faced	đối mặt
facer	người nói chuyện
faces	những khuôn mặt
facet	khía cạnh
facie	tướng mạo
facit	thuận tiện
facks	người giả mạo
facty	thực tế
facto	sự thật
facts	sự thật
faddy	lỗi mốt
faded	đã bị mờ
fader	người làm lỗi mốt
fades	tàn lụi
fadge	thời trang
fadme	lỗi mốt
fados	lỗi mốt
faffy	dở hơi
fager	cá mập
faggy	giả dối
fayed	chết tiệt
fails	thất bại
fains	sợ hãi
faint	mờ nhạt
faire	công chúa
fairy	hư cấu
fairm	công chúa
fairs	hội chợ
Faith	Sự tin tưởng
faits	lỗi lầm
faked	làm giả
fakey	giả tạo
faker	thợ làm bánh
fakes	hàng giả
Falls	Ngã
Falun	Pháp luân
famed	danh tiếng
fames	danh vọng
Fancy	Mến
fangs	răng nanh
fanit	vệ sinh
farce	trò hề
farcy	xa vời
fards	ma cà rồng
fared	đã chết
farer	người bán vé
fares	giá vé
farle	trò hề
farls	trò hề
farmy	nông trại
farms	trang trại
farse	lông xù
Farsi	Tiếng Farsi
farth	xa xôi
farts	rắm
fasts	nhịn ăn
fatal	gây tử vong
fated	định mệnh
Fates	Số phận
fatil	chất béo
fatly	mập mạp
fator	người béo
fatty	béo
faugh	giả
fault	lỗi
Fauna	Động vật
fauns	vòi nước
fause	sự dừng lại
favel	ổ chuột
favor	ủng hộ
favus	yêu thích
fawny	màu nâu vàng
fawns	xu nịnh
faxed	gửi qua fax
faxes	fax
fazed	mê muội
fears	sợ hãi
fease	chống đỡ
Feast	Tiệc
featy	lông lá
feats	kỳ công
feaze	đánh hơi
fecal	phân
feces	phân
fecit	phân
fecks	phân
feedy	chán ăn
feeds	nguồn cấp dữ liệu
feely	tin tưởng
feels	cảm thấy
feest	cuồng nhiệt
feeze	mệt mỏi
feyer	phòng tắm
feign	giả vờ
feyly	cuồng nhiệt
feist	Con chó con
felid	sai lầm
fella	anh bạn
felly	hôi hám
fells	ngã
felon	trọng tội
felts	nỉ
femes	giống cái
femic	giống cái
femur	xương đùi
fence	rào chắn
fends	chống đỡ
feods	chân chống
feoff	chống đỡ
feral	hoang dã
ferly	nhiệt thành
ferns	dương xỉ
ferry	chiếc phà
festy	uy nghiêm
fetal	bào thai
fetch	tìm về
feted	lấy
fetid	chất béo
fetor	người lấy
fetus	thai nhi
feuds	mối thù
feued	tin tưởng
feute	sợ hãi
fever	sốt
fewer	ít hơn
fezes	sốt
fezzy	sốt sình sịch
Fiber	Chất xơ
fibre	chất xơ
fibry	xơ xác
fices	tệ nạn
fiefs	thái ấp
Field	Đồng ruộng
fiery	bốc lửa
fifed	năm mươi tuổi
fifer	tốt hơn
fifes	năm mươi
fifie	năm mươi
fifth	thứ năm
fifty	năm mươi
figgy	hình tượng
fight	Đánh nhau
fiked	bị đánh
filea	tập tin
filed	nộp
Files	Các tập tin
filet	thịt thăn
fille	phi lê
filly	bẩn thỉu
fillo	điền vào
fills	lấp đầy
filmy	bẩn thỉu
films	phim
filth	rác rưởi
final	cuối cùng
finch	chim ưng
findy	khó tìm
finds	tìm thấy
fined	bị phạt
Finer	Béo hơn
fines	tiền phạt
finew	tinh
finis	kết thúc
finky	lập dị
finks	vây
finns	vây
fique	hư hỏng
firca	cây linh sam
fired	Bị sa thải
firer	lính cứu hỏa
fires	đám cháy
firms	công ty
firns	làm săn chắc
firry	chắc nịch
first	đầu tiên
fiscs	cá
fishy	tanh
Fisty	Nắm tay
fists	nắm đấm
fitly	vừa vặn
fitty	vừa vặn
fixed	đã sửa
fixer	người sửa chữa
fixes	sửa lỗi
fixit	sửa nó
fixup	sửa chữa
fizzy	có hơi
fjord	vịnh hẹp
flabs	phiến đá
flack	bong ra
flags	cờ
flail	khua khoắng
flain	phẳng lặng
flair	tư cách
flays	đốm sáng
flake	vảy
flaky	bong tróc
flame	ngọn lửa
flamy	có lông
flams	ngọn lửa
flang	mặt bích
flank	hông
flans	chảo
flaps	vạt áo
flare	bùng phát
flary	lo lắng
flash	tốc biến
flask	bình giữ nhiệt
flats	căn hộ
flawy	hoàn mỹ
flaws	sai sót
flaxy	chất lỏng
fleay	chạy trốn
fleak	chạy trốn
fleam	bọ chét
flear	bọ chét
fleas	bọ chét
flect	đánh lạc hướng
fleer	người chạy trốn
flees	chạy trốn
Fleet	Hạm đội
flegm	bọ chét
fleys	bọ chét
fleme	bọ chét
flesh	thịt
flews	đội bay
flyby	bay bằng
flick	búng tay
flics	bộ phim
flied	bay lượn
flier	phi công
flyer	tờ rơi
flies	ruồi
flimp	mềm mỏng
fling	quăng ra
Flint	Đá lửa
flipe	lật đật
flips	lật
flirt	tán tỉnh
flyte	bay
float	trôi nổi
flock	bầy đàn
floes	trôi nổi
flogs	đánh tráo
floit	phao câu
Flood	Lụt
floor	giá thấp nhất
flosh	xỉa xói
Floss	Xỉa răng
flote	làm nổi
flots	nổi
flour	bột
flout	coi thường
flowe	bay lượn
flowk	bay lượn
flown	bay
flows	chảy
flued	keo kiệt
fluey	có khói
flues	manh mối
fluff	lông tơ
fluid	dịch
fluke	sán
fluky	lanh lợi
flump	bùng phát
flung	ném
flunk	mảnh khảnh
flurn	lật tẩy
flurt	bùng lên
flush	tuôn ra
flusk	vỏ sò
flute	ống sáo
fluty	bong da
fname	biệt danh
fnese	trung quốc
foals	ngựa con
foamy	có bọt
foams	bọt
focal	đầu mối
focus	tiêu điểm
foder	thức ăn gia súc
fodge	nhà nghỉ
fogey	sương mù
Fogel	Sương mù
foggy	sương mù
fogie	chó con
fogle	sương mù
fogou	sương mù
fogus	sương mù
foyer	Trần Cao
foils	giấy bạc
Foism	Chủ nghĩa giả tưởng
foldy	gấp nếp
folds	nếp gấp
folio	lá cây
folky	dân dã
fonds	kẻ thù
fonts	phông chữ
foods	thức ăn
fools	đồ ngu
footy	chân dài
foots	chân
foray	đột phá
forby	cho bởi
forbs	ngã ba
force	lực lượng
forcy	bị bỏ rơi
fordo	làm giả
forel	nói trước
fores	trước
foret	báo trước
forex	ngoại hối
forge	làm giả
forgo	bỏ qua
Forks	Nĩa
forme	cho tôi
formy	hình thức
forms	các hình thức
forte	sở trường
forty	bốn mươi
forts	pháo đài
Forum	Diễn đàn
fossa	Fossa
fotch	vết rách
fouls	phạm lỗi
found	thành lập
fourb	bốnb
fours	bốn người
fowls	gà
foxed	bị cáo
foxer	con cáo
foxes	hai con cáo
foxie	con cáo
foxly	hồ ly tinh
frack	mảnh vải vụn
fract	gãy xương
frags	những mảnh vụn
fraid	sờn
frail	yếu đuối
frays	khung
Frame	Khung
frape	khung
fraps	khung
frary	xích mích
frass	xích mích
frate	giận dữ
fraud	gian lận
frawn	đóng khung
freak	quái đản
fream	la hét
freck	tàn nhang
Freed	Được trả tự do
freen	màu xanh lá cây
Freer	Người tự do
frees	giải phóng
freit	tự do
fresh	mới
frets	phím đàn
friar	người bảo vệ
Fried	Chiên
fryer	nồi chiên
Fries	Khoai tây chiên
frigs	tàu khu trục nhỏ
frike	tàu khu trục
frill	diềm xếp
frise	lăn tăn
frisk	chạy nhanh
friss	sự lăn tăn
frith	thứ sáu
frize	lăn tăn
frizz	lăn tăn
frock	váy yếm
froes	băng giá
frogs	ếch nhái
frond	cheo leo
frons	đóng băng
front	sự trơ trẽn
frore	băng giá
frory	vui vẻ
Frost	sương giá
froth	bọt
frowy	cau có
frowl	cau có
frown	nhăn mặt
frows	cau mày
froze	đóng băng
frugs	trái cây
fruit	Hoa quả
frump	cau có
frush	sự nghiền nát
frust	bực bội
fubby	mập mạp
fubsy	dở hơi
fucks	chị
fuder	người lải nhải
fudge	tin giờ chót
fudgy	ngu ngốc
fuels	nhiên liệu
fuffy	lông tơ
fuggy	chạy trốn
fugle	chạy trốn
fully	đầy đủ
fulls	đầy đủ
fulth	trọn vẹn
Fults	Thất bại
fumed	bốc khói
fumer	người bốc khói
fumes	khói
fumet	khói
fumid	điên cuồng
funds	quỹ
funge	Mushe
fungi	nấm
fungo	Musho
funky	sôi nổi
funks	phễu
funny	vui
furls	lông
furry	có lông
furze	lông bông
furzy	lông xù
fused	hợp nhất
fusee	cầu chì
fusel	thân máy bay
fuses	cầu chì
fussy	kiểu cách
fusty	xưa
fuzzy	mờ
Gable	đầu hồi ngôi nhà
gaffe	lỗi lầm
gaffs	những tiếng thở dài
gayal	gay
gayer	gay
Gaile	Gai
gayly	đồng tính nam
gains	lợi nhuận
gaits	dáng đi
galas	dạ hội
galey	xanh da trời
gamed	đánh bạc
gamey	trò chơi
gamer	game thủ
games	Trò chơi
gamps	linh dương
gamut	âm giai
gangs	băng đảng
gaols	ghế đẩu
gaped	há hốc mồm
gapes	trố mắt
gappy	trẻ con
garbs	quần áo
garce	mặc quần áo
garde	người làm vườn
garle	súc miệng
gases	khí
gashy	thở hổn hển
Gaspe	Thở hổn hển
gaspy	thở hổn hển
gasps	thở hổn hển
gassy	có khí
gasts	dạ dày
GATED	ĐÃ GATED
Gates	Cổng
gaucy	lòe loẹt
gaudy	xa hoa
gauds	ánh sáng
gauge	thước đo
gauls	gaul
gaumy	lòe loẹt
gaums	linh dương
gaure	dáng đi
gaurs	bò tót
Gause	Tạm dừng
gauze	gai
gauzy	gầy còm
gavel	cái búa
gawby	con bò tót
gawky	lòe loẹt
gawks	trố mắt
gawps	trố mắt nhìn
gawsy	lùn tịt
gazed	nhìn chằm chằm
gazee	nhìn chằm chằm
gazes	nhìn chằm chằm
gears	bánh răng
gecko	con tắc kè
gecks	chim mỏ quạ
geeky	ngổ ngáo
geeks	chuyên viên máy tính
geese	ngỗng trời
geest	giới tính
gelly	dạng gel
gemel	đá quý
gemmy	đá quý
gemot	đá quý
gemse	đá quý
genep	genp
genes	gien
Genie	thần đèn
genit	bộ phận sinh dục
genre	thể loại
genty	nhiều
gents	phụ nữ
genus	chi
geode	mã địa lý
gerbe	hoa đồng tiền
gerbo	chuột nhảy
germy	mầm mống
germs	vi trùng
gests	áo choàng
getas	Nhận được như
getup	đứng dậy
ghast	ghê tởm
ghole	ma cà rồng
ghoom	ma cà rồng
ghost	con ma
ghoul	Ngạ quỷ
giant	khổng lồ
gybed	tập gym
gybes	con quay hồi chuyển
giddy	ham chơi
gifts	những món quà
Gigle	Cười khúc khích
gigue	lừa gạt
giher	người cho đi
gilds	mạ vàng
gilet	áo gilet
gills	mang
gilts	nái hậu bị
gimps	con gim
ginks	đồ chơi khăm
Gypsy	Người giang hồ
gyral	con quay
girds	giùm
gyred	quay lại
gyric	con quay
girly	nữ tính
girls	các cô gái
gyron	con quay
gyros	con quay hồi chuyển
girth	đường tròn
girts	áo sơ mi
gyrus	con quay
giust	ham vui
gyved	di chuyển
givey	giàu có
Given	Được cho
giver	người cho
gives	cho
glack	lắt léo
Glady	Vui mừng
glads	vui mừng
glair	long lanh
gland	ốc lắp cáp
glans	quy đầu
glare	chói mắt
Glass	Cốc thủy tinh
glaze	Kem phủ lên bánh
glazy	tráng men
glead	lóng lánh
gleam	tia
glean	lượm lặt
glebe	lóng lánh
gleby	lóng lánh
gledy	bóng bẩy
gleed	lóng lánh
gleek	ánh sáng lấp lánh
gleen	lượm lặt
glees	ánh sáng
gleet	lượm lặt
gleit	lượm lặt
glene	lượm lặt
glens	lượm lặt
glent	lóng lánh
glial	lấp lánh
glide	lướt đi
gliff	lấp lánh
glime	lấp lánh
Glimp	Nhìn thoáng qua
glims	tia sáng
glink	lấp lánh
glint	lấp lánh
gliss	lấp lánh
gloat	hả hê
Globe	Khối cầu
globs	quả cầu
glome	ảm đạm
glood	u ám
gloom	bóng tối
Glory	Vinh quang
gloss	bóng
glost	Glost
glout	găng tay
glove	găng tay
glows	phát sáng
gloze	làm cho hả hê
glued	dán
gluey	keo
glues	keo
glump	căng cứng
gluts	trừng mắt
gnars	gặm nhấm
gnash	gặm nhấm
gnats	gặm nhấm
gnawn	gặm nhấm
gnaws	gặm nhấm
goals	bàn thắng
goaty	dê xồm
goats	dê
gobby	sở thích
godet	thần thánh
godly	tin kính
goers	người đi
Going	Đang đi
Goldy	Vàng
golds	vàng
golfs	gôn
gonef	đi
gongs	cồng chiêng
gonna	sẽ
goods	Các mặt hàng
goofy	ngốc nghếch
goofs	đồ ngu ngốc
gooky	ngu ngốc
gools	người ngu ngốc
goose	con ngỗng
gorce	phù thủy
gored	mệt mỏi
gores	máu me
gorge	hẻm núi
gorry	xin lỗi
gorsy	khó tính
gorst	ngổ ngáo
gossy	khó chịu
gotta	cần phải
gouge	đục khoét
gourd	quả bầu
gouty	bệnh gút
gowns	áo choàng
grabs	nắm lấy
Grace	duyên dáng
grade	lớp
grads	tốt nghiệp
graft	ghép
grain	ngũ cốc
grays	xám
grams	gam
Grant	Khoản trợ cấp
grape	giống nho
graph	đồ thị
grasp	sự hiểu biết
GRASS	CỎ
grate	ghim
grave	phần mộ
gravy	nước thịt
graze	ăn cỏ
Great	Tuyệt quá
grebe	màu xám
grece	màu xám
greed	tham lam
Greek	người Hy Lạp
Green	màu xanh lá
greet	chào
greys	xám
grewt	lớn lên
grice	cáu kỉnh
gride	mài mòn
grids	lưới
grief	nỗi buồn
grift	sự nghiền nát
grigs	nắm chặt
grike	nắm chặt
grill	nướng
grime	cáu bẩn
grimy	đen
grimp	nhăn nhó
grind	mài ngọc
grins	cười toe toét
grint	nghiến răng
griot	chim ưng
gripe	chuôi
griph	tiếng cười
gripy	nhăn nhó
gript	nắm chặt
grise	nhăn nhó
grith	cáu kỉnh
grits	nghiến răng
groan	than van
groat	than thở
Grobe	Áo choàng
groff	sự lộn xộn
grogs	những kẻ lộn xộn
groin	háng
grond	nhàu
groof	gâu gâu
groom	chú rể
groop	sờ soạng
groow	rên rỉ
GROPE	NHÓM
Gross	Tổng
grots	hàng hóa
grouf	gâu gâu
group	tập đoàn
grout	vữa
grovy	gàn dở
growl	gầm gừ
grown	tăng
grows	mọc
gruel	nhăn nhó
gruff	cộc cằn
gruft	càu nhàu
grume	càu nhàu
grump	càu nhàu
grunt	tiếng càu nhàu
grush	sự nghiền nát
Guana	Kỳ nhông
guano	phân chim
guard	bảo vệ
guars	đàn ghi ta
guava	trái ổi
Guelf	Bản thân
guess	
Guest	Khách mời
guffs	guff
GUIDE	HƯỚNG DẪN
guids	cá mòi
guyed	có con trai
Guild	bang hội
guilt	tội lỗi
guyot	thằng khốn
gulas	công thức
gulch	nuốt nước bọt
gulfy	nuốt nước bọt
gulfs	vịnh nhỏ
gully	khe
gulls	mòng biển
gulph	nuốt nước bọt
gulpy	nuốt nước bọt
gulps	nuốt nước bọt
Gumbo	cây mướp tây
gumly	kẹo cao su
gummy	kẹo dẻo
gundy	màu xám
gunky	có nhiều súng
gunks	súng ống
guppy	cá bảy màu
gurdy	ham chơi
gurle	mò mẫm
gursh	đầm lầy
gurts	nuốt nước bọt
gurus	guru
gushy	dày đặc
gusts	gió giật
gutsy	gan ruột
gutty	gan ruột
habit	thói quen
hacks	hack
hadal	dầu mù tạt
haded	đã làm
hadit	đã có nó
hadnt	không có
haems	có vẻ
haggy	có nhiều lông
haick	vội vàng
hayed	khô héo
hayer	cỏ khô
haiks	có lông
Haile	Lông
hails	tung hô
haire	lông lá
hairy	nhiều lông
hairs	những sợi lông
halas	bản đồ
halch	dây buộc
halfy	giảm một nửa
halke	dây buộc
hallo	ê
Halls	Hội trường
halms	dây buộc
halos	quầng sáng
halse	một nửa
halte	hate
halts	tạm dừng
halva	Kẹo hạt hướng dương
halve	giảm một nửa
Handy	Tiện dụng
Hands	Đôi tay
hange	trả thù
hangs	treo cổ
hanky	khờ khạo
hanks	cảm ơn
Hanoi	Hà nội
Happy	Vui mừng
hards	cứng
hared	được nuôi
harem	hậu cung
hares	thỏ rừng
Harms	Tác hại
harps	đàn hạc
harsh	thô ráp
hashy	băm
hasht	dấu thăng
Hasin	Có trong
hasky	băm
hasnt	chưa
hasps	dấu thăng
haste	sự vội vàng
Hasty	Nóng vội
hated	ghét
hater	người ghét
hates	ghét
haugh	mặc dù
haulm	khoai tây
hauls	hối hả
haunt	ám ảnh
haust	hừng hực
Haven	trú ẩn
haves	có
havoc	sự tàn phá
hawed	có lông
hawer	người làm thịt
hawky	diều hâu
Hawks	Diều hâu
hawse	lỗ Xích neo
hazed	mù mịt
Hazel	cây phỉ
hazes	sương mù
